code,name_vi,category,Năng lượng,Chất đạm,Chất đạm_unit,Chất béo (Fat),Chất béo (Fat)_unit,Chất bột đường,Chất bột đường_unit,Retinol,Retinol_unit,Vitamin A (RAE),Vitamin A (RAE)_unit,Beta-carotene,Beta-carotene_unit,Vitamin C,Vitamin C_unit,Canxi,Canxi_unit,Sắt,Sắt_unit,Natri,Natri_unit,Kali,Kali_unit,Kẽm,Kẽm_unit,Nước,Nước_unit,Tryptophan,Tryptophan_unit,Threonine,Threonine_unit,Isoleucine,Isoleucine_unit,Leucine,Leucine_unit,Lysine,Lysine_unit,Methionine,Methionine_unit,Cystine,Cystine_unit,Phenylalanine,Phenylalanine_unit,Tyrosine,Tyrosine_unit,Valine,Valine_unit,Arginine,Arginine_unit,Histidine,Histidine_unit,Alanine,Alanine_unit,Axit Aspartic,Axit Aspartic_unit,Axit Glutamic,Axit Glutamic_unit,Glycine,Glycine_unit,Proline,Proline_unit,Serine,Serine_unit,Axit béo bão hòa tổng số,Axit béo bão hòa tổng số_unit,C16:0,C16:0_unit,C18:0,C18:0_unit,Axit béo không bão hòa đơn tổng số,Axit béo không bão hòa đơn tổng số_unit,C18:1 c,C18:1 c_unit,Axit béo không bão hòa đa tổng số,Axit béo không bão hòa đa tổng số_unit,"C 18:2, cis, n-6 (Linoleic Acid)","C 18:2, cis, n-6 (Linoleic Acid)_unit","C 18:3, cis, n-3 (Alpha-Linolenic Acid)","C 18:3, cis, n-3 (Alpha-Linolenic Acid)_unit","Sugars, total","Sugars, total_unit",Tro,Tro_unit,Magie,Magie_unit,Photpho,Photpho_unit,Đồng,Đồng_unit,Mangan,Mangan_unit,Selen,Selen_unit,Vitamin D (D2 + D3),Vitamin D (D2 + D3)_unit,Vitamin E,Vitamin E_unit,Vitamin B1 (Thiamin),Vitamin B1 (Thiamin)_unit,Vitamin B2 (Riboflavin),Vitamin B2 (Riboflavin)_unit,Vitamin B3 (Niacin),Vitamin B3 (Niacin)_unit,Vitamin B5 (axit pantothenic),Vitamin B5 (axit pantothenic)_unit,Vitamin B6,Vitamin B6_unit,Vitamin B9 (Folate),Vitamin B9 (Folate)_unit,"Folate, food","Folate, food_unit",Vitamin K1 (Phylloquinone),Vitamin K1 (Phylloquinone)_unit,C16:1 c,C16:1 c_unit,C20:4 n-6,C20:4 n-6_unit,Lycopene,Lycopene_unit,Lutein + zeaxanthin,Lutein + zeaxanthin_unit,Chất xơ,Chất xơ_unit,Cholesterol,Cholesterol_unit,C18:1 undifferentiated,C18:1 undifferentiated_unit,Vitamin B12,Vitamin B12_unit,C4:0,C4:0_unit,C6:0,C6:0_unit,C8:0,C8:0_unit,C10:0,C10:0_unit,C12:0,C12:0_unit,C14:0,C14:0_unit,C16:1 undifferentiated,C16:1 undifferentiated_unit,C18:2 undifferentiated,C18:2 undifferentiated_unit,C18:3 undifferentiated,C18:3 undifferentiated_unit,F,F_unit,Vitamin D3 (Cholecalciferol),Vitamin D3 (Cholecalciferol)_unit,"Tocopherol, alpha","Tocopherol, alpha_unit","Folate, DFE","Folate, DFE_unit","Choline, total","Choline, total_unit",C20:0,C20:0_unit,C22:0,C22:0_unit,"Fatty acids, total trans","Fatty acids, total trans_unit"
4100,"Súp lơ xanh, tươi","Rau, quả, củ dùng làm rau",39.0,2.95,g,0.3,g,6.08,g,,,7.75,mcg,93.0,mcg,88.1,mg,33.0,mg,0.73,mg,23.0,mg,300.0,mg,0.64,mg,89.79,g,39.0,mg,107.0,mg,112.0,mg,172.0,mg,158.0,mg,42.0,mg,34.0,mg,105.0,mg,64.0,mg,148.0,mg,142.0,mg,59.0,mg,156.0,mg,345.0,mg,393.0,mg,95.0,mg,127.0,mg,154.0,mg,0.05,g,0.04,g,0.0,g,0.03,g,0.02,g,0.13,g,0.03,g,0.1,g,3.03,g,0.88,g,20.0,mg,62.0,mg,0.04,mg,0.25,mg,0.6,mcg,,,0.04,mg,0.08,mg,0.1,mg,0.73,mg,0.7,mg,0.22,mg,57.0,mcg,57.0,mcg,20.2,mcg,0.0,g,,,,,42.0,mcg,3.2,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4100002,"Súp lơ xanh, luộc","Rau, quả, củ dùng làm rau",34.0,2.57,g,0.26,g,5.29,g,,,6.74,mcg,80.87,mcg,42.13,mg,28.7,mg,0.63,mg,20.0,mg,260.87,mg,0.56,mg,91.12,g,0.03,mg,0.09,mg,0.1,mg,0.15,mg,0.14,mg,0.04,mg,0.03,mg,0.09,mg,0.06,mg,0.13,mg,0.12,mg,0.05,mg,0.14,mg,0.3,mg,0.34,mg,0.08,mg,0.11,mg,0.13,mg,0.04,g,0.03,g,0.0,g,0.02,g,,g,0.12,g,0.03,g,0.09,g,2.63,g,0.77,g,17.39,mg,53.91,mg,0.04,mg,0.21,mg,0.52,mcg,,mcg,0.03,mg,0.05,mg,0.07,mg,0.45,mg,0.61,mg,0.12,mg,29.74,mcg,,mcg,17.57,mcg,,g,,,36.52,mcg,,,2.78,g,,,0.02,g,,,,g,,g,,g,,g,,g,,g,0.0,g,,g,,g,,mcg,,mcg,,mg,,mcg,,mg,,,,,,g
4101,"Thìa là, tươi","Rau, quả, củ dùng làm rau",47.0,2.6,g,0.96,g,6.94,g,,,237.5,mcg,2850.0,mcg,63.0,mg,200.0,mg,1.2,mg,48.0,mg,360.6,mg,0.5,mg,88.4,g,14.0,mg,68.0,mg,195.0,mg,159.0,mg,246.0,mg,11.0,mg,17.0,mg,65.0,mg,96.0,mg,154.0,mg,142.0,mg,71.0,mg,227.0,mg,343.0,mg,290.0,mg,169.0,mg,248.0,mg,158.0,mg,0.06,g,0.05,g,0.01,g,0.8,g,0.8,g,0.1,g,0.08,g,0.01,g,,,1.1,g,55.0,mg,12.2,mg,0.22,mg,0.55,mg,,,,,,,0.05,mg,0.12,mg,0.7,mg,0.4,mg,0.19,mg,150.0,mcg,150.0,mcg,,,0.0,g,,,,,,,5.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4102,"Tía tô, tươi","Rau, quả, củ dùng làm rau",40.0,2.9,g,,,7.0,g,,,460.0,mcg,5520.0,mcg,13.0,mg,190.0,mg,3.2,mg,2.8,mg,284.1,mg,0.86,mg,89.1,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,g,111.88,mg,18.3,mg,0.46,mg,0.73,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4103,"Tỏi ta, tươi","Rau, quả, củ dùng làm rau",126.0,6.0,g,0.35,g,24.65,g,,,,,,,10.0,mg,24.0,mg,1.5,mg,18.0,mg,373.0,mg,0.9,mg,67.7,g,66.0,mg,157.0,mg,217.0,mg,308.0,mg,273.0,mg,76.0,mg,65.0,mg,183.0,mg,81.0,mg,291.0,mg,634.0,mg,113.0,mg,132.0,mg,489.0,mg,805.0,mg,200.0,mg,100.0,mg,190.0,mg,0.09,g,0.09,g,,,0.01,g,0.01,g,0.25,g,0.23,g,0.02,g,1.0,g,1.3,g,8.0,mg,181.0,mg,0.3,mg,1.3,mg,77.1,mcg,,,0.01,mg,0.24,mg,0.03,mg,0.9,mg,0.6,mg,1.24,mg,3.0,mcg,3.0,mcg,1.4,mcg,,,,,,,26.0,mcg,1.5,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,"Tỏi tây, cả lá, tươi","Rau, quả, củ dùng làm rau",35.0,1.4,g,,,7.4,g,,,0.83,mcg,10.0,mcg,20.0,mg,80.0,mg,2.0,mg,,,,,,,90.0,g,23.0,mg,82.0,mg,74.0,mg,140.0,mg,100.0,mg,35.0,mg,,,97.0,mg,,,98.0,mg,99.0,mg,38.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,g,,,58.0,mg,,,,,,,,,,,0.06,mg,0.04,mg,0.5,mg,,,,,,,,,,,,,,,,,,,1.5,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4105,"Trám đen, quả chín, tươi","Rau, quả, củ dùng làm rau",134.0,2.5,g,10.0,g,8.5,g,,,,,,,14.0,mg,140.0,mg,,,,,,,,,77.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,g,,,30.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4106,"Trám xanh, trám trắng, tươi","Rau, quả, củ dùng làm rau",56.0,1.2,g,1.6,g,9.3,g,,,27.5,mcg,330.0,mcg,20.0,mg,136.0,mg,,,,,,,,,86.7,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,g,,,9.0,mg,,,,,,,,,,,0.02,mg,0.11,mg,0.4,mg,,,,,,,,,,,,,,,,,,,4.9,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4107,"Lá xương sông, tươi","Rau, quả, củ dùng làm rau",28.0,2.2,g,,,4.7,g,,,,,,,4.0,mg,112.0,mg,4.0,mg,11.95,mg,423.98,mg,,,91.7,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,g,49.56,mg,17.0,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4108,"Rau cải ngọt, tươi","Rau, quả, củ dùng làm rau",17.0,1.4,g,0.1,g,2.62,g,,,100.5,mcg,1206.0,mcg,78.4,mg,127.6,mg,0.77,mg,,,,,0.57,mg,95.2,g,,,81.96,mg,33.52,mg,71.29,mg,59.89,mg,0.41,mg,14.75,mg,44.75,mg,30.24,mg,47.22,mg,60.37,mg,110.7,mg,39.81,mg,97.42,mg,58.12,mg,8.25,mg,,,93.29,mg,,,,,,,,,,,,,,,,,,,0.68,g,,,176.6,mg,,,,,,,,,,,0.05,mg,0.02,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
